id_cliente,dimension_economica,dimension_relacional,dimension_cumplimiento,dimension_potencial
C045,0.82,0.78,0.98,0.84
C014,0.79,0.88,0.98,0.82
C005,0.53,0.7,0.91,0.82
C004,0.83,0.75,0.58,0.62
C018,0.54,0.7,0.63,0.58
C044,0.6,0.52,0.91,0.89
C016,0.85,0.83,0.59,0.89
C030,0.79,0.57,0.5,0.92
C011,0.91,0.41,0.73,0.95
C003,0.79,0.79,0.96,0.71
C021,0.74,0.51,0.82,0.7
C027,0.46,0.96,0.74,0.88
C026,0.62,0.97,0.46,0.79
C008,0.56,0.95,0.77,0.82
C019,0.55,0.62,0.99,0.88
C023,0.98,0.41,0.48,0.93
C006,0.64,0.96,0.71,0.6
C007,0.94,0.66,0.93,0.63
